license,name,state,address,cdpostal,Municipi,Comarca
HUTB-005872,Sense especificar,Alta,Carrer Ausias March 86-88,8013,Barcelona,Barcelonès
HUTB-005873,Sense especificar,Alta,Ronda General Mitre 212,8006,Barcelona,Barcelonès
HUTB-005874,Sense especificar,Alta,Carrer ARAGO 231 BIS,8007,Barcelona,Barcelonès
HUTB-005875,Sense especificar,Alta,Carrer Progres 21-23,8012,Barcelona,Barcelonès
HUTB-005876,Sense especificar,Alta,Carrer COMTE BORRELL 178 BIS,8015,Barcelona,Barcelonès
HUTB-005879,Sense especificar,Alta,Carrer Bailen 222,8037,Barcelona,Barcelonès
HUTB-005880,Sense especificar,Alta,Carrer Encarnacio 35,8012,Barcelona,Barcelonès
HUTB-005881,Sense especificar,Alta,Avinguda Josep Tarradellas 23,8029,Barcelona,Barcelonès
HUTB-005882,Sense especificar,Alta,Carrer Sant Quinti 37-45,8041,Barcelona,Barcelonès
HUTB-005883,Sense especificar,Alta,Carrer Gran Via Corts Catalanes 506-510,8015,Barcelona,Barcelonès
HUTB-005885,Sense especificar,Alta,Carrer Legalitat 53,8024,Barcelona,Barcelonès
HUTB-005894,Sense especificar,Alta,Carrer Montmany 25,8012,Barcelona,Barcelonès
HUTB-005896,Sense especificar,Alta,Carrer Valencia 317,8009,Barcelona,Barcelonès
HUTB-005897,Sense especificar,Alta,Avinguda Paral.lel 99,8004,Barcelona,Barcelonès
HUTB-005904,Sense especificar,Alta,Passeig Gracia 16,8007,Barcelona,Barcelonès
HUTB-005905,Sense especificar,Alta,Carrer Vallespir 163,8014,Barcelona,Barcelonès
HUTB-005907,Aparts Nou BCN Les Corts,Alta,Carrer Equador 18,8029,Barcelona,Barcelonès
HUTB-005908,Sense especificar,Alta,Carrer Entença 95,8015,Barcelona,Barcelonès
HUTB-005909,Sense especificar,Alta,Carrer Rocafort 102,8015,Barcelona,Barcelonès
HUTB-005912,Sense especificar,Alta,Carrer Nàpols 258,8025,Barcelona,Barcelonès
HUTB-005914,Sense especificar,Alta,Carrer Gran Via Corts Catalanes 415,8015,Barcelona,Barcelonès
HUTB-005917,Sense especificar,Alta,Carrer Ramon Turro 89,8013,Barcelona,Barcelonès
HUTB-005920,Sense especificar,Alta,Carrer MALLORCA 371,8013,Barcelona,Barcelonès
HUTB-005923,Sense especificar,Alta,Avinguda PARAL.LEL 82,8015,Barcelona,Barcelonès
HUTB-005925,Sense especificar,Alta,Carrer Floridablanca 95,8015,Barcelona,Barcelonès
