date,price,city
Enero 2010,12.8,madrid
Diciembre 2009,12.9,madrid
Noviembre 2009,12.9,madrid
Octubre 2009,12.8,madrid
Septiembre 2009,12.8,madrid
Agosto 2009,12.9,madrid
Julio 2009,13.0,madrid
Junio 2009,12.8,madrid
Mayo 2009,12.9,madrid
Abril 2009,13.0,madrid
Marzo 2009,13.0,madrid
Febrero 2009,13.0,madrid
Enero 2009,13.2,madrid
Diciembre 2008,13.2,madrid
Noviembre 2008,13.4,madrid
Octubre 2008,13.6,madrid
Septiembre 2008,13.8,madrid
Agosto 2008,13.6,madrid
Julio 2008,14.0,madrid
Junio 2008,13.4,madrid
Mayo 2008,13.0,madrid
Abril 2008,13.2,madrid
Marzo 2008,13.9,madrid
Febrero 2008,14.0,madrid
Enero 2008,13.0,madrid
Diciembre 2007,12.7,madrid
Noviembre 2007,13.4,madrid
Octubre 2007,13.1,madrid
Septiembre 2007,14.5,madrid
Agosto 2007,14.1,madrid
Julio 2007,.,madrid
Junio 2007,.,madrid
Mayo 2007,.,madrid
Abril 2007,.,madrid
Marzo 2007,.,madrid
Febrero 2007,.,madrid
Enero 2007,.,madrid
Diciembre 2006,.,madrid
Noviembre 2006,.,madrid
Octubre 2006,.,madrid
Septiembre 2006,.,madrid
Agosto 2006,.,madrid
Julio 2006,.,madrid
Junio 2006,.,madrid
Mayo 2006,.,madrid
Abril 2006,.,madrid
Marzo 2006,.,madrid
Febrero 2006,.,madrid
Enero 2006,.,madrid
