license,name,address,cdpostal,localidad
AM-1333,SLOW SUITES GRAN VIA,CALLE de Víctor Hugo 4,28004.0,Madrid
AM-1338,AMOR DE DIOS,CALLE del Amor de Dios 17,28014.0,Madrid
AM-1339,HR VOLANTE,CALLE de la Violeta 10,28023.0,Madrid
AM-1341,PLAZA MAYOR SUITES Y APARTMENTS,CALLE de El Salvador 4,28012.0,Madrid
AM-1342,SLOW SUITES LUCHANA,CALLE de Luchana 13,28010.0,Madrid
AM-1346,MH APARTMENTS CENTRAL MADRID,PLAZA de Tirso de Molina 15,28012.0,Madrid
AM-1348,PLAZA ESPAÑA SKY LINE,CALLE de Cadarso 18,28008.0,Madrid
AM-1350,GRAN CENTRAL SUITES,CALLE de las Minas 12,28004.0,Madrid
AM-1351,HOROKO,CALLE del Miosotis 2,28039.0,Madrid
AM-1353,APARTAMENTOS LG 45,CALLE de Leganitos 45,28013.0,Madrid
VT-184,VUT MOREIRA 8,CALLE de la Morería 8,28005.0,Madrid
VT-185,"MORATIN, Nº 21, 3º B",CALLE de Moratín 21,28014.0,Madrid
VT-200,"VICTOR HUGO 4, BAJO DCHA. D",CALLE de Víctor Hugo 4,28004.0,Madrid
VT-307,"NUÑEZ DE ARCE 14, 3º D",CALLE de Núñez de Arce 14,28012.0,Madrid
VT-308,"NUÑEZ DE ARCE 14, 1º B",CALLE de Núñez de Arce 14,28012.0,Madrid
VT-310,NUÑEZ ARCE 14 2º A,CALLE de Núñez de Arce 14,28012.0,Madrid
VT-311,NUÑEZ ARCE 14 3º C,CALLE de Núñez de Arce 14,28012.0,Madrid
VT-312,NUÑEZ ARCE 14 3º A,CALLE de Núñez de Arce 14,28012.0,Madrid
VT-333,"CONCEPCION JERONIMA 28, 5º 4",CALLE de Concepción Jerónima 28,28012.0,Madrid
VT-207,"ARENAL 26, 2º DCHA D",CALLE del Arenal 26,28013.0,Madrid
VT-219,JORDAN 6,CALLE del Jordán 6,28010.0,Madrid
VT-257,"FOMENTO 25, 4B",CALLE del Fomento 25,28013.0,Madrid
VT-258,FOMENTO 25,CALLE del Fomento 25,28013.0,Madrid
VT-261,"FOMENTO 25, 2A",CALLE del Fomento 25,28013.0,Madrid
VT-267,"DELICIAS, 23 BAJO IZQ.",CALLE de Delicias 23,28045.0,Madrid
VT-272,"VELARDE , Nº 12, 4º EXT. DCHA.",CALLE de Velarde 12,28004.0,Madrid
VT-295,"NUÑEZ DE ARCE, 7. 2º",CALLE de Núñez de Arce 7,28012.0,Madrid
VT-301,"GRUPO VELOREY, HORTALEZA 18",CALLE de Hortaleza 18,28004.0,Madrid
VT-305,"SAN MILLAN, Nº 5, PORT. 1, 1º D",CALLE de San Millán 5,28012.0,Madrid
VT-306,"NUÑEZ DE ARCE 14, 2º D",CALLE de Núñez de Arce 14,28012.0,Madrid
VT-118,EMBAJADORES 66,CALLE de los Embajadores 66,28012.0,Madrid
VT-121,"HORNO DE LA MATA, 9 5º B",TRVA del Horno de la Mata 9,28004.0,Madrid
VT-383,"C/ BARCELONA 7, 4º,B",CALLE de Barcelona 7,28012.0,Madrid
VT-426,"VALDERRIBAS, 81. BAJO B",CALLE de Valderribas 81,28007.0,Madrid
VT-523,"BARCELONA 7, 5º B",CALLE de Barcelona 7,28012.0,Madrid
VT-524,PRECIADOS 40 4 5,CALLE de Preciados 40,28013.0,Madrid
VT-526,ALCANTARA,CALLE de Alcántara 48,28006.0,Madrid
VT-527,"GRAFAL, Nº 7, 4º C",CALLE de Grafal 7,28005.0,Madrid
VT-528,GOBERNADOR,CALLE del Gobernador 25,28014.0,Madrid
VT-530,"HUERTAS, 4, 2º B",CALLE de las Huertas 4,28012.0,Madrid
VT-531,HUERTAS 4,CALLE de las Huertas 4,,Madrid
VT-532,BARCELONA 7 2º E,CALLE de Barcelona 7,28012.0,Madrid
VT-535,JUANELO 15,CALLE de Juanelo 15,28012.0,Madrid
VT-538,COSTANILLA DESAMPARADOS 4,CSTAN de los Desamparados 4,28014.0,Madrid
